decile,actual_sum,actual_mean,count,predicted_sum,predicted_mean,actual_pct,cumulative_pct
1,2660776.07,1417.5684976025573,1877,2644390.0345695075,1408.8385906070898,40.31307105284339,40.31307105284339
2,957302.43,510.2891417910448,1876,784540.1649955767,418.1983821938042,14.503964206070766,54.81703525891416
3,664884.58,354.41608742004263,1876,428644.89758581214,228.48875137836467,10.073579516024411,64.89061477493857
4,597637.85,318.57028251599144,1876,230709.76927499272,122.9796211487168,9.054733084290916,73.94534785922949
5,594950.3200000001,316.9687373468301,1877,122997.2233718302,65.5286219349122,9.014014667935554,82.95936252716504
6,478237.52,254.9240511727079,1876,63139.54322560806,33.656472934759094,7.245714264070187,90.20507679123523
7,298937.26999999996,159.34822494669507,1876,28126.64808903238,14.992882776669711,4.52915957179855,94.73423636303377
8,201455.03999999998,107.38541577825158,1876,12711.47497591935,6.7758395394026385,3.052219024757467,97.78645538779124
9,94265.92,50.248358208955224,1876,5434.553437154638,2.8968834952849885,1.4282106539020591,99.21466604169329
10,51834.25000000001,27.615476824720304,1877,1470.027302558333,0.7831791702495114,0.785333958306701,99.99999999999999
